"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5896780740747","69.6652515587453","71.9406083688584","70.2095930625135","69.6151224771922","29.0728842257247","69.7728180681964","72.4159002700264","70.7494787259711","64.9691778454159","59.3289998848001","62.1954013606675","58.8331282284422","58.4511358915968","61.6515613411627","61.309653297513","63.2084764567335","62.3361850453968","64.3937133727252","64.8392172000081","62.556969791971","59.4874699097202",
"Africa Eastern and Southern","AFE","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","78.8760363131758","79.8618226094128","82.275823077302","","","","","","","65.6250878601713","","","","","","","","","","74.8593263668556","69.920738588714","69.3483820232066","72.0484836060359","71.9783940171173","67.5730922515253","67.4141652634983","68.4018582383959","68.0709138364599","67.6503927879353","68.334384564539","65.3331490159147","67.1898427619044","62.300627339167","66.255840014122","64.8461041337023","63.3922739030035","62.8662923578486","63.2971589997785","61.975432178207","65.2886885361576","65.5044684589478","64.1146815069268","63.4520073100891","64.181077161472","65.6025004417551","64.1620050070278",
"Afghanistan","AFG","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","28.6521376403035","41.0557216014938","30.2510645951534","28.5228938651142","24.3032038512962","27.7852526287362","33.2859225582647","40.315678935165","54.3142843254721","37.0881179809319","62.7370084262365","65.8142763012315","56.6493592453059","46.774855133727","49.9178238085996","46.4749385098249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.225306021781","16.661688583446","19.0830581632724","13.7203511420929","6.5739642416531","6.99944663151224","8.40791819685785","16.5001116931986","24.5975694033498","40.7024238433037","45.2205947815806","41.0868040544375","","",
"Africa Western and Central","AFW","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","72.2052974693739","73.1439891618648","73.8950230084159","76.1166859592957","75.7892626473876","75.2882091098058","73.668316586782","72.8975010898874","77.9635691766613","76.8187601692229","74.9501466650301","74.6692534782313","70.3446378639405","74.7733110703412","76.2717223762086","75.07717195807","73.5651370469532","71.4662115543863","","67.9887126770502","","69.2305647719891","","","","","","","","","","","","","68.2655925148846","66.6572836747322","67.3781916631707","63.4073372336962","62.7219476349679","62.3099757069555","66.1419815501396","62.0086569846917","","","64.7831102156638","67.4647826729278","70.3295844168486","73.2043778316103","74.0612280177226","60.1712451110477","66.9026579071249","61.761824207781","63.5864486996761","64.6764078123241","64.1152384616404","59.9603442597956","60.2153128327249","66.7132159031905","62.589132299156","",
"Angola","AGO","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","74.2975702512366","","","","","","","78.9670474751093","78.8409239893954","81.6521436683967","80.6758057405018","78.5760037267417","76.9297458069304","","","","","","","","","","","65.0947382380269","","","","","","","","","","","","","","","","","","","","","","81.2885756497697","","69.3479165082659","65.7083388856312","67.6500290780513","73.6637116833577","72.6126819687005","63.0819546986625","60.265008866166","54.8527236409138","55.9932202404156","59.2674911195402","64.9518543318021","65.60643147253","63.8104576308322",
"Albania","ALB","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2102869652691","67.0210346243327","66.5323598976361","63.9938517704226","66.586000834266","68.1084243526898","67.863848824752","69.0342975653711","70.293332697955","71.3119849316285","64.1209694901953","65.1285860984399","63.3699189987576","67.6204817449223","63.575091859884","60.6798261948745","59.0264794628749","61.4960884630195","37.3435488970563","58.5674745205595","58.2955735608015","51.0404356493248","47.511441094006","50.6593616573049","61.5314824043475","",
"Andorra","AND","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.1926581201281","65.6776443282495","64.7382870010111","71.9468783007097","74.4487882202505","73.8429450072472","74.0107289001197","74.8335274159212","75.4873890077126","76.2331984208912","","74.1624999173079","74.3427405958356","69.2424241900379","68.5768779047805","66.8632226470354","64.3809335797637","61.5016777884836","62.5905502093151","63.4935712437506","66.4401006911656","67.6021155165485","67.3380146561716","68.2945524421844","","","",
"Arab World","ARB","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","78.3600236278965","75.8704913942351","72.4104772767842","72.598747413727","76.1854876559224","75.0566005988367","","","","","","","","","75.5229706979587","74.4653545411148","","","","","","68.5055409550733","67.2360367908745","67.6056300497055","63.5031046871649","63.9619966622639","64.9869616587689","67.7818291597742","66.7651975440587","67.3888149806072","66.8052479471089","66.3436820615373","64.4627702774979","61.8309361095359","65.309792155159","58.2334124396926","59.8391564769765","61.2264932000924","61.9405139630512","68.2231033466602","67.4804703359659","64.2453985103706","63.477931883969","59.3709576418652",
"United Arab Emirates","ARE","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","82.157110963533","76.4471498345208","74.296408953397","74.8832245435336","81.1084890231798","77.3981426316843","","","","","","","","69.276742230455","73.3436661440645","72.831835167116","","","","","","64.9567828308131","84.4076833262756","78.1280720193796","61.5390446355514","61.5839825152667","58.1218899184149","64.5141423671307","61.9515232885363","64.3734810061022","66.7674246999999","56.1958797425891","51.9042515034679","53.9713741420749","66.2489960133584","41.5102770219574","44.7094820747356","46.3608999114598","48.4604307712854","71.3197215519354","71.2903873284806","60.023702800983","57.8679292925383","51.9334852850932",
"Argentina","ARG","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","80.3662687469945","78.2700226968904","67.7451852917737","62.1946463144543","64.6509786141096","68.7043262686715","69.5560614775541","69.8895888795937","73.0587543303087","72.1450852258777","74.6487726882473","67.7195784238079","64.0029299935732","67.4185595328702","65.415941201566","68.7981626626938","72.7925226896408","67.0492090520579","77.331851085658","78.0978126996309","73.6580250852308","75.7858759462323","74.4381763803816","74.9698193713781","73.7916956731029","74.5263312524119","","","","","86.3219700586407","87.8860329340414","88.110501592244","85.5029706384344","86.9466997825818","87.7186307913254","88.6644796155083","88.6198562602907","86.7256459906493","85.9014752322376","83.0626213492873","85.5415110086989","86.4824111210958","86.3533363056346","86.5965738964109","85.1625207870206","82.8939768927974","85.352141979531","84.3577203165293","79.4754431161363","79.8780116980627","77.0861763046026","75.8210720291067","81.7976426585726","84.0543400354801","83.5951661440282","78.7079066895287","79.5866915236971","80.0726737285019","77.3132759488518",
