"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.38005655353822","2.10000986158841","1.88687499818701","2.4568402111469","2.3359160077364","2.66646836417951","3.3269613751909","3.05119421627425","3.01826403139172","0.97022042837788","0.798838391545515","1.14081154269822","1.17173360649833","1.15907509989879","1.18010846340599","1.22102614389831","2.11765758397366","1.75134499286582","0.91720489406907","1.08537882260301","1.04381082988724","0.926862506067775",
"Africa Eastern and Southern","AFE","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","2.19626185944672","2.28136421853412","1.95334912627747","","","","","","","1.95922241928066","","","","","","","","","","2.00358443885558","1.93491085539985","1.81691702517149","1.95507159368791","2.00044197756299","2.1052563429015","1.7184863742675","1.91485579847332","2.06251995165763","2.09330710447288","2.06150804981097","2.33725861970087","2.43238824077234","2.84578682988048","1.92221917697504","2.35023311877207","2.87712489134339","2.65558154856949","2.57011810484684","2.72229220365362","2.53594226860043","2.54253068442822","3.00793553830044","3.20072877759685","2.7306956799085","3.03235762738668","2.14694381652227",
"Afghanistan","AFG","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","0.039774951722225","0.227884455495729","0.162912596757714","0.126047621345445","0.0692505644993633","0.0863434810109968","0.0531414387918182","0.141623999936692","0.106668396266518","0.060992369447013","0.109681587286938","0.259329424230153","0.126676566077595","0.114973918075858","0.108506048261152","0.120983430638658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.396869440571365","0.216327171779355","0.281992479508173","0.273661753630469","","","","0.265449776345043","0.565414295757957","2.44188716558127","1.79034177916409","1.69384210954167","","",
"Africa Western and Central","AFW","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","1.46866683721145","1.58981507192851","1.53124012702826","1.60691360112347","1.96093481618464","1.85376612848052","1.81436962014557","1.90288605546914","1.63740805082405","1.71949489939556","1.64791563827987","1.76511994945664","1.60504701403525","1.52844860363768","1.57871409829219","1.51768207566719","1.5003832506407","1.771154950731","","1.56311905180865","","1.98774371972581","","","","","","","","","","","","","2.1195398837104","2.43399431329149","1.9742014751166","2.05463646459581","2.02999303067875","2.12342307652874","2.0776899116112","1.60751517692437","","","2.03293596486857","2.12203425917271","1.56030997939993","1.41588817682919","1.08731615086244","1.1448086427675","1.4997552229874","1.26316719078855","1.23437525377904","1.31835014104752","1.14025596359689","2.0554403221568","1.22133936228634","1.12462740666012","1.11310708398036","",
"Angola","AGO","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","0.784253648364543","","","","","","","0.979650804971516","1.0998262189386","0.915146808974892","1.35162558622299","1.69763021751518","2.61427998192737","","","","","","","","","","","1.35268074762421","","","","","","","","","","","","","","","","","","","","","","0.614511466832542","","1.51286596564599","0.705744640887401","0.713776120786264","0.924676966129078","0.712685644611248","0.653071968219914","0.556416416629088","0.52554892484258","0.724921281407745","0.657932531304958","0.701040234886045","0.619934907470455","0.542630542208163",
"Albania","ALB","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02848377904385","1.44951092538095","1.24348411327696","1.08725969506078","1.54113878193558","1.72511919994509","1.95046123237579","1.74685005123267","1.67968465490054","2.38114115464895","2.50924627306612","2.86052040749217","2.51777570543925","2.4474821971318","3.61002912343741","4.0992269650699","2.75573252962047","2.58327671326983","0.509983988178868","1.87904909690666","1.28746910387014","0.456069586532058","0.399632625116623","0.481852110924148","1.13115094621687","",
"Andorra","AND","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.710753881700047","0.764618153490847","0.662152577309268","0.66462774324648","0.678015534967527","0.751039852514273","0.787241309438869","0.612384705599884","0.616999721376151","0.607138542610582","","0.728224447530331","0.624410778612128","0.68031484544218","0.86896162603968","0.57226775302775","0.536519443864381","0.469487023490236","0.406252887883791","0.458342176579425","0.463577215028386","0.389986858589397","0.396399492947478","0.453706890270689","","","",
"Arab World","ARB","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","1.16416936358356","1.28492947529178","1.69599846219601","1.37233616910187","1.4418059579951","1.92717563603794","","","","","","","","","3.73454950154394","4.76152275623729","","","","","","2.11356631710308","2.31401527619168","2.26873463200627","2.10230634802941","2.26111744310579","3.14493159513236","3.29350815284298","3.67841215173936","3.51676286153665","4.34917985759231","2.51567483569645","3.14566270853918","3.85571547970805","3.84423129244654","3.52117235815704","3.47780154859708","2.98591605629703","2.79050795676666","3.29218414272653","3.74457991971321","3.42100419561735","3.37243155477844","3.67385099813868",
"United Arab Emirates","ARE","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","1.11164575531894","1.19254941431522","1.54734030072893","1.19732861463193","1.39079374017502","2.21219307950975","","","","","","","","7.443873922549","6.04950935879139","7.93773167455168","","","","","","1.44508022395123","2.40040114379888","2.14044943196568","1.67994052578888","1.95931020662903","3.57544502303252","3.36073799121712","3.61633131419649","4.25600420141618","5.1225334753964","1.42082581475912","1.62818116641087","2.55387642513451","2.99511589388732","2.69696332733057","2.56230007337141","2.17518518577908","2.18325560313004","2.5674884302748","3.28617927658857","2.89247204237311","2.54905266399457","2.52247686407941",
"Argentina","ARG","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","2.74088407026322","3.96414939824762","7.31789796249061","8.47181378032482","7.56401858023395","6.46864891682357","6.67896355713961","6.79995608152241","7.52361392217952","7.411640299696","7.88009334268139","8.23729645536689","9.09179217729298","8.2501817493187","6.85939808112934","5.34420682916137","4.61388315775618","4.54876239540644","2.93801215620961","2.61683269114831","4.36138137739953","4.73777087885043","5.21231391303221","4.70977098454655","5.54165467985011","5.18783028396032","","","","","2.88965646378304","2.28797457941013","2.10081711953639","2.71286281812276","2.5647606829801","2.14267125790554","2.12194774387258","2.05569064806486","2.49425904008636","2.68595156837398","4.47515719926234","3.63265263009851","3.21622840076925","3.46088701739441","3.90827210922264","3.24536606611348","3.73821248337423","2.56780308217122","3.28080045354742","3.49623372909381","2.67026052425489","2.67010273867058","3.15881100601335","2.74820680227267","2.21738558399208","2.34639508347565","3.02821217680549","3.15470207359221","2.95600162995576","3.9362002809895",
